Nombre (AFORE),Estado,latitud,longitud,PEA
INBURSA,Aguascalientes,21.8664191,-102.2984336,39007.18
PROFUTURO,Aguascalientes,21.8660882,-102.284187,39007.18
INVERCAP,Aguascalientes,21.8426137,-102.2934246,39007.18
INVERCAP,Aguascalientes,21.912003,-102.311718,39007.18
PENSIONISSSTE,Aguascalientes,21.878866,-102.292733,39007.18
PENSIONISSSTE,Aguascalientes,21.8919916,-102.2971318,39007.18
COPPEL,Aguascalientes,21.8852562,-102.2915677,39007.18
COPPEL,Aguascalientes,21.8968415,-102.3104201,39007.18
COPPEL,Aguascalientes,21.8864894,-102.2974845,39007.18
COPPEL,Aguascalientes,21.886515,-102.2976025,39007.18
COPPEL,Aguascalientes,22.2281359,-102.3212581,39007.18
SURA,Aguascalientes,21.9110182,-102.3110379,39007.18
CITIBANAMEX,Aguascalientes,21.8852245,-102.2919936,39007.18
XXI-BANORTE,Aguascalientes,21.9163819,-102.3066854,39007.18
XXI-BANORTE,Aguascalientes,21.8843826,-102.2718852,39007.18
PRINCIPAL,Aguascalientes,21.9543946,-102.3117988,39007.18
AZTECA,Aguascalientes,21.8950625,-102.3115383,39007.18
Nuevo CAP,Aguascalientes,21.92111191,-102.3008982,1
INBURSA,Baja California,31.8667427,-116.5963713,25668.59
INBURSA,Baja California,32.6641333,-115.4585475,25668.59
INBURSA,Baja California,32.5221457,-117.009542,25668.59
PROFUTURO,Baja California,31.8503274,-116.6091546,25668.59
INVERCAP,Baja California,31.8627709,-116.6115453,25668.59
INVERCAP,Baja California,32.6585858,-115.453037,25668.59
INVERCAP,Baja California,32.6108076,-115.3860381,25668.59
INVERCAP,Baja California,32.5754125,-116.6206957,25668.59
INVERCAP,Baja California,32.519333,-117.0123902,25668.59
INVERCAP,Baja California,32.4951305,-116.9584443,25668.59
INVERCAP,Baja California,32.5315181,-116.9271031,25668.59
PENSIONISSSTE,Baja California,32.494921,-116.935152,25668.59
PENSIONISSSTE,Baja California,32.641806,-115.452342,25668.59
COPPEL,Baja California,32.6612234,-115.4877059,25668.59
COPPEL,Baja California,32.6596123,-115.4844484,25668.59
COPPEL,Baja California,32.5347593,-117.0380779,25668.59
COPPEL,Baja California,32.5018677,-116.9640801,25668.59
COPPEL,Baja California,30.8406338,-115.2837585,25668.59
COPPEL,Baja California,32.6165643,-115.5014884,25668.59
COPPEL,Baja California,32.4945704,-116.9545188,25668.59
COPPEL,Baja California,32.5134098,-116.8685856,25668.59
COPPEL,Baja California,32.5173383,-116.9256341,25668.59
COPPEL,Baja California,32.4984986,-116.8892549,25668.59
COPPEL,Baja California,32.610571,-115.3858622,25668.59
COPPEL,Baja California,32.5322795,-117.0385376,25668.59
COPPEL,Baja California,32.535236,-116.9327924,25668.59
COPPEL,Baja California,32.4771815,-116.9703412,25668.59
COPPEL,Baja California,32.3691631,-117.0618361,25668.59
COPPEL,Baja California,31.8144228,-116.5963731,25668.59
COPPEL,Baja California,32.6478699,-115.5325106,25668.59
COPPEL,Baja California,32.5866807,-115.4044923,25668.59
COPPEL,Baja California,32.481479,-117.0459649,25668.59
COPPEL,Baja California,32.494394,-116.9315423,25668.59
COPPEL,Baja California,32.5315726,-117.0725127,25668.59
COPPEL,Baja California,32.2903112,-115.1029403,25668.59
COPPEL,Baja California,32.5446282,-116.9267058,25668.59
COPPEL,Baja California,32.4980295,-116.8644847,25668.59
COPPEL,Baja California,32.4601177,-116.879965,25668.59
COPPEL,Baja California,32.618809,-115.3995545,25668.59
COPPEL,Baja California,32.3405477,-117.0560776,25668.59
COPPEL,Baja California,32.465625,-116.8629249,25668.59
COPPEL,Baja California,32.6096722,-115.3872857,25668.59
COPPEL,Baja California,32.6459298,-115.5220312,25668.59
COPPEL,Baja California,32.5291971,-116.9692736,25668.59
COPPEL,Baja California,32.521885,-116.9349694,25668.59
COPPEL,Baja California,31.8674247,-116.6256377,25668.59
COPPEL,Baja California,32.4982295,-116.8890568,25668.59
COPPEL,Baja California,32.5320936,-117.0352732,25668.59
COPPEL,Baja California,32.5031948,-116.9744108,25668.59
COPPEL,Baja California,32.4976377,-116.9663218,25668.59
COPPEL,Baja California,32.5123408,-116.8961566,25668.59
COPPEL,Baja California,32.5388984,-117.0058446,25668.59
COPPEL,Baja California,32.5937468,-115.4764326,25668.59
COPPEL,Baja California,31.8595344,-116.6031279,25668.59
COPPEL,Baja California,32.5370326,-117.0093047,25668.59
COPPEL,Baja California,31.8591871,-116.6052862,25668.59
COPPEL,Baja California,32.3734841,-116.9411948,25668.59
CITIBANAMEX,Baja California,31.8662431,-116.6221045,25668.59
CITIBANAMEX,Baja California,32.6245129,-115.4216773,25668.59
CITIBANAMEX,Baja California,32.4859594,-116.9462341,25668.59
CITIBANAMEX,Baja California,32.5297695,-116.9512645,25668.59
XXI-BANORTE,Baja California,31.8779516,-116.6232932,25668.59
XXI-BANORTE,Baja California,32.6570839,-115.4495698,25668.59
XXI-BANORTE,Baja California,32.5215916,-117.027251,25668.59
XXI-BANORTE,Baja California,32.5149469,-117.0382471,25668.59
AZTECA,Baja California,32.4604388,-116.8847751,25668.59
SURA,Baja California,31.8779516,-116.6232932,25668.59
SURA,Baja California,32.6251016,-115.4265289,25668.59
SURA,Baja California,32.5137089,-117.0041432,25668.59
Nuevo CAP,Baja California,32.41618534,-116.4992714,1
INBURSA,Baja California Sur,24.1494661,-110.3056196,30371.87
PENSIONISSSTE,Baja California Sur,24.148436,-110.305273,30371.87
COPPEL,Baja California Sur,24.1582629,-110.3158362,30371.87
COPPEL,Baja California Sur,23.0602415,-109.7009315,30371.87
COPPEL,Baja California Sur,24.117616,-110.3115207,30371.87
COPPEL,Baja California Sur,22.8995524,-109.9434504,30371.87
COPPEL,Baja California Sur,23.0788566,-109.7074881,30371.87
COPPEL,Baja California Sur,24.1552812,-110.3082088,30371.87
COPPEL,Baja California Sur,24.1208204,-110.3376097,30371.87
COPPEL,Baja California Sur,22.9323415,-109.9349238,30371.87
SURA,Baja California Sur,24.1426748,-110.3122509,30371.87
