Nombre (AFORE),Estado,latitud,longitud
PENSIONISSSTE,AGUASCALIENTES,21.878866,-102.292733
PENSIONISSSTE,AGUASCALIENTES,21.8919916,-102.2971318
Nuevo Cap,AGUASCALIENTES,21.92111191,-102.3008982
PENSIONISSSTE,BAJA CALIFORNIA,32.494921,-116.935152
PENSIONISSSTE,BAJA CALIFORNIA,32.641806,-115.452342
Nuevo Cap,BAJA CALIFORNIA,32.41618534,-116.4992714
PENSIONISSSTE,BAJA CALIFORNIA SUR,24.148436,-110.305273
Nuevo Cap,BAJA CALIFORNIA SUR,23.71285786,-110.122146
PENSIONISSSTE,CAMPECHE,19.8537408,-90.5283937
Nuevo Cap,CAMPECHE,19.40022053,-90.93807262
PENSIONISSSTE,CDMX,19.3167491,-99.1237739
PENSIONISSSTE,CDMX,19.444842,-99.151902
PENSIONISSSTE,CDMX,19.4136232,-99.1813129
PENSIONISSSTE,CDMX,19.384393,-99.148584
PENSIONISSSTE,CDMX,19.3574074,-99.1987345
PENSIONISSSTE,CDMX,19.3762289,-99.0955446
PENSIONISSSTE,CDMX,19.3286155,-99.1086078
Nuevo Cap,CDMX,19.39416474,-99.14106971
PENSIONISSSTE,CHIAPAS,14.8993629,-92.2495908
PENSIONISSSTE,CHIAPAS,16.7443033,-92.6342542
PENSIONISSSTE,CHIAPAS,16.7513094,-93.1069386
Nuevo Cap,CHIAPAS,16.14249304,-92.73781433
PENSIONISSSTE,CHIHUAHUA,31.7349424,-106.4435867
PENSIONISSSTE,CHIHUAHUA,28.6180364,-106.1034114
Nuevo Cap,CHIHUAHUA,29.67789723,-106.2243476
PENSIONISSSTE,COAHUILA,25.5486569,-100.9437106
PENSIONISSSTE,COAHUILA,25.446294,-100.994901
Nuevo Cap,COAHUILA,26.47567314,-101.8337694
PENSIONISSSTE,COLIMA,19.272548,-103.734967
Nuevo Cap,COLIMA,19.16777717,-103.8835815
PENSIONISSSTE,DURANGO,25.5545574,-103.508086
PENSIONISSSTE,DURANGO,24.021162,-104.671233
Nuevo Cap,DURANGO,24.53674703,-104.4191178
PENSIONISSSTE,ESTADO DE MÉXICO,19.641655,-99.135953
PENSIONISSSTE,ESTADO DE MÉXICO,19.68572,-99.213646
PENSIONISSSTE,ESTADO DE MÉXICO,19.6044288,-99.0123901
PENSIONISSSTE,ESTADO DE MÉXICO,19.2922765,-99.6233734
PENSIONISSSTE,ESTADO DE MÉXICO,19.3572844,-99.1984595
Nuevo Cap,ESTADO DE MÉXICO,19.48143969,-99.16867042
PENSIONISSSTE,GUANAJUATO,20.532269,-100.827153
Nuevo Cap,GUANAJUATO,20.75308397,-101.2356545
PENSIONISSSTE,GUERRERO,16.85402,-99.857197
Nuevo Cap,GUERRERO,17.49176347,-99.95172987
PENSIONISSSTE,HIDALGO,20.116257,-98.742239
Nuevo Cap,HIDALGO,20.12107354,-98.8571534
PENSIONISSSTE,JALISCO,20.6630626,-103.2965445
PENSIONISSSTE,JALISCO,20.684962,-103.347374
Nuevo Cap,JALISCO,20.59897814,-103.4032638
PENSIONISSSTE,MICHOACÁN,19.728099,-101.223281
Nuevo Cap,MICHOACÁN,19.49139154,-101.7490633
PENSIONISSSTE,MORELOS,18.924411,-99.217665
Nuevo Cap,MORELOS,18.85397475,-99.14973862
PENSIONISSSTE,NAYARIT,21.507202,-104.900549
Nuevo Cap,NAYARIT,21.60058749,-104.9710614
PENSIONISSSTE,NUEVO LEÓN,25.7001902,-100.3093165
PENSIONISSSTE,NUEVO LEÓN,25.671223,-100.337619
Nuevo Cap,NUEVO LEÓN,25.66812518,-100.2539155
PENSIONISSSTE,OAXACA,17.077156,-96.706945
Nuevo Cap,OAXACA,17.10325235,-96.41146292
PENSIONISSSTE,PUEBLA,19.051696,-98.213072
Nuevo Cap,PUEBLA,19.18540364,-98.04590891
PENSIONISSSTE,QUERÉTARO,20.394178,-99.984535
PENSIONISSSTE,QUERÉTARO,20.593007,-100.406277
Nuevo Cap,QUERÉTARO,20.54699735,-100.2940477
PENSIONISSSTE,QUINTANA ROO,18.493589,-88.29624
PENSIONISSSTE,QUINTANA ROO,21.153982,-86.838344
Nuevo Cap,QUINTANA ROO,20.34811973,-87.30581637
PENSIONISSSTE,SAN LUIS POTOSÍ,21.9873727,-99.0108345
PENSIONISSSTE,SAN LUIS POTOSÍ,22.150445,-100.987531
Nuevo Cap,SAN LUIS POTOSÍ,22.23509517,-100.4380258
PENSIONISSSTE,SINALOA,24.819809,-107.408358
Nuevo Cap,SINALOA,24.7593046,-107.6202105
PENSIONISSSTE,SONORA,29.0680158,-110.9578327
PENSIONISSSTE,SONORA,27.4814187,-109.9272276
Nuevo Cap,SONORA,29.37545883,-111.0890587
PENSIONISSSTE,TABASCO,18.000466,-92.925871
Nuevo Cap,TABASCO,17.95252354,-92.90237504
PENSIONISSSTE,TAMAULIPAS,26.073754,-98.318685
PENSIONISSSTE,TAMAULIPAS,23.732046,-99.130071
Nuevo Cap,TAMAULIPAS,24.69129441,-98.25099488
PENSIONISSSTE,TLAXCALA,19.3246045,-98.2339656
Nuevo Cap,TLAXCALA,19.33866352,-98.1977056
PENSIONISSSTE,VERACRUZ,18.148757,-94.468556
PENSIONISSSTE,VERACRUZ,19.5607808,-96.9290164
Nuevo Cap,VERACRUZ,19.15981556,-96.29114465
PENSIONISSSTE,YUCATÁN,20.9927598,-89.6115249
Nuevo Cap,YUCATÁN,20.96976649,-89.38625114
PENSIONISSSTE,ZACATECAS,22.743022,-102.497195
Nuevo Cap,ZACATECAS,22.99255553,-102.7264966
